,Education Level,Age,Gender,Children,Weekly Earnings,Year,Weekly Hours Worked,Sleeping,Grooming,Housework,Food & Drink Prep,Caring for Children,Playing with Children,Job Searching,Shopping,Eating and Drinking,Socializing & Relaxing,Television,Golfing,Running,Volunteering,Employment Status
0,11,17,1,2,240,2005,22,570,70,0,0,0,0,0,0,50,145,65,0,0,0,Employed
1,16,49,2,0,0,2005,0,555,60,0,0,0,0,0,60,15,570,90,0,0,0,Not in labor force
2,15,40,1,3,1470,2005,35,613,10,0,0,210,0,0,45,30,409,409,0,0,0,Employed
3,15,46,2,2,673,2005,60,550,35,270,0,0,0,0,130,0,242,60,0,0,0,Employed
4,13,39,2,2,1385,2005,40,570,0,210,40,0,0,0,3,5,427,105,0,0,0,Employed
5,19,80,2,0,125,2005,12,585,110,12,60,0,0,0,0,115,393,188,0,0,0,Employed
6,16,38,2,3,0,2005,0,540,60,0,45,155,0,0,155,95,295,40,0,0,15,Not in labor force
7,11,76,2,0,0,2005,0,645,45,0,45,0,0,0,60,90,475,415,0,0,0,Not in labor force
8,15,43,1,2,1769,2005,45,585,24,0,0,92,0,0,7,30,379,135,0,0,0,Employed
9,9,16,2,3,50,2005,20,485,75,0,0,0,0,0,0,0,350,60,0,0,0,Employed
10,14,62,1,0,0,2005,0,450,30,160,20,0,0,0,30,105,345,345,0,0,0,Not in labor force
11,14,28,1,3,0,2005,0,570,0,60,45,240,195,15,60,45,255,45,0,0,0,Unemployed
12,15,56,1,0,0,2005,60,455,60,0,0,0,0,0,0,30,290,0,0,0,0,Employed
13,15,30,1,1,1635,2005,50,480,30,0,50,65,0,0,0,100,390,90,0,0,60,Employed
14,18,61,2,0,0,2005,0,510,70,0,0,0,0,0,70,120,455,110,0,0,0,Not in labor force
15,19,77,2,0,0,2005,0,480,69,60,60,0,0,0,0,95,525,360,0,0,0,Not in labor force
16,19,35,1,2,0,2005,50,570,30,0,0,0,0,0,0,30,240,240,0,0,0,Employed
17,19,47,1,1,1923,2005,55,360,45,105,28,4,0,0,113,50,270,165,0,0,0,Employed
